epoch,train_loss,macro_all,macro_clean
0,0.10338436225395063,0.809481126438513,0.8175781855398097
1,0.08131882107574424,0.8598182088440293,0.8694301470392668
2,0.07385499124507328,0.8780363865249226,0.8887586458403813
3,0.06934776984073304,0.8908103728215322,0.9015204602302068
4,0.06610024429775857,0.9042582218639936,0.9123754977480023
5,0.06370761027157089,0.9082899010807479,0.9160147587740762
6,0.06163269326418311,0.9182307466823001,0.925687277430879
7,0.0602122816656317,0.9177112008585192,0.9262263045337031
8,0.05864352761552884,0.9224423009603884,0.9293795587985489
9,0.057414079610353864,0.9241455799466546,0.9313338987073584
10,0.05642861972525443,0.9286861417488996,0.9345142891126716
11,0.055623034199515545,0.9279177912309011,0.9355401741348723
12,0.05496458076077067,0.9301742100006157,0.9363411293800727
13,0.054097423391355266,0.9298675809138105,0.9369676396900408
14,0.05320412194827101,0.9297362067405794,0.9383973494209625
15,0.052548033386578055,0.9307556424911918,0.9395658061490666
16,0.051744385093668875,0.9322230726299395,0.9407395189828255
17,0.051380514921177,0.9307993618069004,0.9402487575118741
18,0.05055825223279742,0.931112082124698,0.9407779289035222
19,0.050350304474651594,0.9313226064179209,0.9418439348992288
20,0.04949574386735102,0.9333408724856879,0.9425770181248089
21,0.04891398126061583,0.9316949739121383,0.9419113146390166
22,0.04875595192169095,0.9301276991037255,0.9428303309139991
23,0.04823353702386657,0.9329564742040629,0.9427251251707369
24,0.04748921901424289,0.9331667014158839,0.9436828270231957
25,0.04694632324816543,0.9293010503698971,0.9439379660076596
26,0.04658616265971145,0.9332596879991922,0.9439216632954915
27,0.04626845280493135,0.9329009225685898,0.943263750194932
28,0.045876054905163936,0.932876242264608,0.9443460793781248
29,0.04556616502831052,0.9320204013080877,0.9437919351989417
30,0.04489528990927197,0.9325790192846006,0.9445952649842738
31,0.0444596354191229,0.9306038829080712,0.9438380471142657
32,0.04456377419687453,0.9286030923355535,0.943992466136037
33,0.04369121615266625,0.9329550346864138,0.9445635835949683
34,0.04329152830327169,0.9314044133812509,0.9444266560764214
35,0.04302513139533909,0.9298492234017629,0.9441274984597067
36,0.04280534209240051,0.927917010441653,0.9440285434698458
37,0.04245434048493485,0.9289018136218119,0.9426280206218456
38,0.04208372629523932,0.9301590162501351,0.9440747158882505
39,0.04183518125815488,0.9300433991814812,0.943777496405499
40,0.04114073933862941,0.9290377614155684,0.943280447423041
41,0.04103801081523354,0.9301752790358496,0.9426761306416654
42,0.04065219116407436,0.9293911079626974,0.9435304050748253
43,0.0404020778275344,0.9309718477374576,0.9431162168879327
44,0.040038990238920234,0.9296705526652621,0.9435672867919932
45,0.039432312112861065,0.929302971754199,0.9433403531986334
46,0.039051499497486555,0.9263768318656571,0.9422166856095355
47,0.039141901212679596,0.9269764216441516,0.9429018517863662
48,0.03876176818986952,0.9274002889218947,0.9428202193336859
49,0.03845318867364428,0.9271539343126278,0.943247278524809
50,0.03827379000519877,0.9247720499121257,0.9414809381014592
