epoch,train_loss,macro_all,macro_clean
0,0.10393164110380215,0.7924709996254359,0.8259640035727964
1,0.0807142817439177,0.8444073761161951,0.8665239658948087
2,0.07411331091171657,0.8778223512628388,0.8905204420387877
3,0.0694966010148927,0.8961889722182811,0.9048913071698026
4,0.0664192456138003,0.9016070709380218,0.9123610504848728
5,0.06370254655133237,0.9090034429214235,0.9176295272012855
6,0.06180854136253888,0.9126568251953149,0.9207757732280366
7,0.06050083546083925,0.916296183895681,0.9247576550422412
8,0.05901843621890187,0.9204393950002787,0.9276140281491676
9,0.05779747209160319,0.9221505696815622,0.928975236856841
10,0.05669800088409976,0.9246476162570512,0.9314523764462526
11,0.0556897590953461,0.9242496808789834,0.9327543510566013
12,0.05496910015196154,0.9268099520232861,0.9344079383981166
13,0.05421498644373792,0.9272393684280503,0.9366335209765888
14,0.05377086538534898,0.9276765444335043,0.9349454198651784
15,0.052747516691575555,0.931433190109019,0.9386436368327709
16,0.052174382109618014,0.9305384517654292,0.9389200714690888
17,0.05164662022621204,0.9315623326027856,0.9409734236130515
18,0.05064486210053657,0.9318596701613532,0.9395263193166727
19,0.05052303387732296,0.9328306203239317,0.941755581152383
20,0.04990172072999425,0.9322636764428088,0.941842257993784
21,0.04935682481734744,0.9326893301860236,0.9419678321785032
22,0.0487256547497524,0.9338323132827315,0.9426449953195727
23,0.04838636780887733,0.9342711224634472,0.9420144359868553
24,0.047896821215585035,0.9332581485669273,0.9429224008998858
25,0.04729657669316281,0.9347480820083951,0.9432402337639624
26,0.047070833339250134,0.9348943293988695,0.9433289582807874
27,0.04637178320151109,0.9328746169951206,0.9440650780576584
28,0.046208538729083405,0.9310805837147184,0.9432119736239676
29,0.045803794521333534,0.9334825184350414,0.9450963832403342
30,0.045426960877610216,0.9332998165691936,0.9434028089448707
31,0.04483828949486161,0.9337660905659401,0.9438916776905464
32,0.04436803836334538,0.9331360659399829,0.9428819774615529
33,0.04407160948866453,0.9334814697282238,0.9443683612196169
34,0.04374787987179154,0.9329204882744535,0.9442420047914075
35,0.04329979528874268,0.9340147452849049,0.9437686446803413
36,0.04278814164928464,0.9339782615859507,0.9438629911821329
37,0.042686865818533266,0.9320015419338799,0.9439099213960952
38,0.042098101951700426,0.9358202865195046,0.944817736873092
39,0.041884852723378836,0.9335554540572385,0.944526926490026
40,0.041730344970966435,0.9307382856671158,0.9427857556878407
41,0.041016080092652375,0.9325671965193412,0.9429101787819584
42,0.04073510445900016,0.933418842631638,0.9435442752970857
43,0.040533107913512015,0.9326740620971944,0.9434836812976728
44,0.040043494544732265,0.9343513781943554,0.9434933568880302
45,0.03987487696193077,0.9335219480724366,0.943731581829654
46,0.03955434251153644,0.933748220085547,0.9424368391009982
47,0.03933085587844525,0.9300537434241873,0.9430915806692434
48,0.03877699516386121,0.9310258787958479,0.9425349607153511
49,0.038649560672132086,0.9313303663995044,0.9421529407448755
