analysis,family,endpoint,a,b,diff,lo,hi,p_raw,p_holm,lo_simultaneous,hi_simultaneous
notch,§8.3.4 — effetto del notch a 100 Hz,macro_clean,con notch,senza notch,0.000080,0.000002,0.000162,0.045995,0.045995,0.000002,0.000162
notch,§8.3.4 — effetto del notch a 100 Hz,macro_all,con notch,senza notch,-0.000266,-0.001212,0.000210,0.722128,0.722128,-0.001212,0.000210
